   queue_type   | user_count |    first_correction     |     last_correction     
----------------+------------+-------------------------+-------------------------
 NULL           |       1229 | 2025-08-18 09:00:05.667 | 2025-08-18 12:33:29.359
 unsigned_users |        371 | 2025-08-18 09:03:47.636 | 2025-08-18 12:32:30.021
 manual_call    |          7 | 2025-08-18 09:03:15.143 | 2025-08-18 12:29:21.186
(3 rows)

 User ID |  Corrected To  | Score | Active |     When Corrected      
---------+----------------+-------+--------+-------------------------
    3065 | NULL           |    50 | t      | 2025-08-18 12:33:29.359
    3064 | NULL           |    50 | t      | 2025-08-18 12:33:29.113
    3063 | NULL           |    50 | t      | 2025-08-18 12:33:28.881
    3062 | NULL           |    50 | t      | 2025-08-18 12:33:28.649
    3061 | NULL           |    50 | t      | 2025-08-18 12:33:28.416
    3060 | NULL           |    50 | t      | 2025-08-18 12:33:28.106
    3059 | NULL           |    50 | t      | 2025-08-18 12:33:27.874
    3058 | NULL           |    50 | t      | 2025-08-18 12:33:27.642
    3054 | NULL           |    50 | t      | 2025-08-18 12:33:27.409
    3053 | NULL           |    50 | t      | 2025-08-18 12:33:27.177
    3050 | NULL           |    50 | t      | 2025-08-18 12:33:26.944
    3048 | NULL           |    50 | t      | 2025-08-18 12:33:26.712
    3043 | NULL           |    50 | t      | 2025-08-18 12:33:26.48
    3041 | NULL           |    50 | t      | 2025-08-18 12:33:26.248
    3039 | NULL           |    50 | t      | 2025-08-18 12:33:26.016
    3038 | NULL           |    50 | t      | 2025-08-18 12:33:25.783
    3037 | NULL           |    50 | t      | 2025-08-18 12:33:25.55
    3036 | NULL           |    50 | t      | 2025-08-18 12:33:25.317
    3035 | NULL           |    50 | t      | 2025-08-18 12:33:25.085
    3034 | NULL           |    50 | t      | 2025-08-18 12:33:24.852
    3028 | NULL           |    50 | t      | 2025-08-18 12:33:24.62
    3027 | NULL           |    50 | t      | 2025-08-18 12:33:24.388
    3023 | NULL           |    50 | t      | 2025-08-18 12:33:24.077
    3022 | NULL           |    50 | t      | 2025-08-18 12:33:18.433
    3017 | NULL           |    50 | t      | 2025-08-18 12:33:18.198
    3016 | NULL           |    50 | t      | 2025-08-18 12:33:17.963
    3015 | NULL           |    50 | t      | 2025-08-18 12:33:17.728
